cat_middle,cat_3,code_icd10_p,code_icd10,codename_high,codename,code_icd9
D10－D36,D21,D21.4,D214,NA,腹部の結合組織及びその他の軟部組織,2155
D10－D36,D21,D21.5,D215,NA,骨盤の結合組織及びその他の軟部組織,2156
D10－D36,D21,D21.6,D216,NA,体幹の結合組織及びその他の軟部組織，部位不明,2157
D10－D36,D21,D21.9,D219,NA,結合組織及びその他の軟部組織，部位不明,2159
D10－D36,D22,D22,D22,NA,メラニン細胞性母斑,
D10－D36,D22,D22.0,D220,NA,口唇のメラニン細胞性母斑,2160
D10－D36,D22,D22.1,D221,NA,眼瞼のメラニン細胞性母斑，眼角を含む,
D10－D36,D22,D22.2,D222,NA,耳及び外耳道のメラニン細胞性母斑,
D10－D36,D22,D22.3,D223,NA,その他及び部位不明の顔面のメラニン細胞性母斑,
D10－D36,D22,D22.4,D224,NA,頭皮及び頚部のメラニン細胞性母斑,2164
D10－D36,D22,D22.5,D225,NA,体幹のメラニン細胞性母斑,2165
D10－D36,D22,D22.6,D226,NA,上肢のメラニン細胞性母斑，肩を含む,
D10－D36,D22,D22.7,D227,NA,下肢のメラニン細胞性母斑，股関節部を含む,
D10－D36,D22,D22.9,D229,NA,メラニン細胞性母斑，部位不明,"2168,2169"
D10－D36,D23,D23,D23,NA,皮膚のその他の良性新生物＜腫瘍＞,
D10－D36,D23,D23.0,D230,NA,口唇の皮膚,2160
D10－D36,D23,D23.1,D231,NA,眼瞼の皮膚，眼角を含む,
D10－D36,D23,D23.2,D232,NA,耳及び外耳道の皮膚,
D10－D36,D23,D23.3,D233,NA,その他及び部位不明の顔面の皮膚,
D10－D36,D23,D23.4,D234,NA,頭皮及び頚部の皮膚,2164
D10－D36,D23,D23.5,D235,NA,体幹の皮膚,2165
D10－D36,D23,D23.6,D236,NA,上肢の皮膚，肩を含む,
D10－D36,D23,D23.7,D237,NA,下肢の皮膚，股関節部を含む,
D10－D36,D23,D23.9,D239,NA,皮膚，部位不明,2169
D10－D36,D24,D24,D24,NA,乳房の良性新生物＜腫瘍＞,
D10－D36,D25,D25,D25,NA,子宮平滑筋腫,
D10－D36,D25,D25.0,D250,NA,粘膜下子宮平滑筋腫,2180
D10－D36,D25,D25.1,D251,NA,壁内子宮平滑筋腫,2181
D10－D36,D25,D25.2,D252,NA,漿膜下子宮平滑筋腫,2182
D10－D36,D25,D25.9,D259,NA,子宮平滑筋腫，部位不明,2189
D10－D36,D26,D26,D26,NA,子宮のその他の良性新生物＜腫瘍＞,
D10－D36,D26,D26.0,D260,NA,子宮頚（部）,2190
D10－D36,D26,D26.1,D261,NA,子宮体部,2191
D10－D36,D26,D26.7,D267,NA,子宮のその他の部位,2198
D10－D36,D26,D26.9,D269,NA,子宮，部位不明,2199
D10－D36,D27,D27,D27,NA,卵巣の良性新生物＜腫瘍＞,
D10－D36,D28,D28,D28,NA,その他及び部位不明の女性生殖器の良性新生物＜腫瘍＞,
D10－D36,D28,D28.0,D280,NA,外陰,2212
D10－D36,D28,D28.1,D281,NA,腟,2211
D10－D36,D28,D28.2,D282,NA,卵管及び子宮靱帯＜広間膜，円索＞,2210
D10－D36,D28,D28.7,D287,NA,その他の明示された女性生殖器,2218
D10－D36,D28,D28.9,D289,NA,女性生殖器，部位不明,2219
D10－D36,D29,D29,D29,NA,男性生殖器の良性新生物＜腫瘍＞,
D10－D36,D29,D29.0,D290,NA,陰茎,2221
D10－D36,D29,D29.1,D291,NA,前立腺,2222
D10－D36,D29,D29.2,D292,NA,精巣＜睾丸＞,
D10－D36,D29,D29.3,D293,NA,精巣上体＜副睾丸＞,
D10－D36,D29,D29.4,D294,NA,陰のう＜嚢＞,2224
D10－D36,D29,D29.7,D297,NA,その他の男性生殖器,
D10－D36,D29,D29.9,D299,NA,男性生殖器，部位不明,2229
D10－D36,D30,D30,D30,NA,腎尿路の良性新生物＜腫瘍＞,
D10－D36,D30,D30.0,D300,NA,腎,
D10－D36,D30,D30.1,D301,NA,腎盂,
D10－D36,D30,D30.2,D302,NA,尿管,
D10－D36,D30,D30.3,D303,NA,膀胱,2233
D10－D36,D30,D30.4,D304,NA,尿道,22381
D10－D36,D30,D30.7,D307,NA,その他の尿路,
D10－D36,D30,D30.9,D309,NA,尿路，部位不明,2239
D10－D36,D31,D31,D31,NA,眼及び付属器の良性新生物＜腫瘍＞,
D10－D36,D31,D31.0,D310,NA,結膜,
D10－D36,D31,D31.1,D311,NA,角膜,
D10－D36,D31,D31.2,D312,NA,網膜,
D10－D36,D31,D31.3,D313,NA,脈絡膜,
D10－D36,D31,D31.4,D314,NA,毛様体,
D10－D36,D31,D31.5,D315,NA,涙腺及び涙管,
D10－D36,D31,D31.6,D316,NA,眼窩，部位不明,
D10－D36,D31,D31.9,D319,NA,眼，部位不明,
D10－D36,D32,D32,D32,NA,髄膜の良性新生物＜腫瘍＞,
D10－D36,D32,D32.0,D320,NA,脳髄膜,2252
D10－D36,D32,D32.1,D321,NA,脊髄膜,2254
D10－D36,D32,D32.9,D329,NA,髄膜，部位不明,2252
D10－D36,D33,D33,D33,NA,脳及び中枢神経系のその他の部位の良性新生物＜腫瘍＞,
D10－D36,D33,D33.0,D330,NA,脳，テント上,2250
D10－D36,D33,D33.1,D331,NA,脳，テント下,2250
D10－D36,D33,D33.2,D332,NA,脳，部位不明,2250
D10－D36,D33,D33.3,D333,NA,脳神経,2251
D10－D36,D33,D33.4,D334,NA,脊髄,2253
D10－D36,D33,D33.7,D337,NA,中枢神経系のその他の明示された部位,2258
D10－D36,D33,D33.9,D339,NA,中枢神経系，部位不明,2259
D10－D36,D34,D34,D34,NA,甲状腺の良性新生物＜腫瘍＞,226
D10－D36,D35,D35,D35,NA,その他及び部位不明の内分泌腺の良性新生物＜腫瘍＞,
D10－D36,D35,D35.0,D350,NA,副腎,
D10－D36,D35,D35.1,D351,NA,上皮小体＜副甲状腺＞,2271
D10－D36,D35,D35.2,D352,NA,下垂体,2273
D10－D36,D35,D35.3,D353,NA,頭蓋咽頭管,2273
D10－D36,D35,D35.4,D354,NA,松果体,2274
D10－D36,D35,D35.5,D355,NA,頚動脈小体,2275
D10－D36,D35,D35.6,D356,NA,大動脈小体及びその他のパラガングリア＜傍神経節＞,2276
D10－D36,D35,D35.7,D357,NA,その他の明示された内分泌腺,2278
D10－D36,D35,D35.8,D358,NA,複数の内分泌腺,
D10－D36,D35,D35.9,D359,NA,内分泌腺，部位不明,2279
D10－D36,D36,D36,D36,NA,その他の部位及び部位不明の良性新生物＜腫瘍＞,
D10－D36,D36,D36.0,D360,NA,リンパ節,2290
D10－D36,D36,D36.1,D361,NA,末梢神経及び自律神経系,
D10－D36,D36,D36.7,D367,NA,その他の明示された部位,2298
D10－D36,D36,D36.9,D369,NA,部位不明の良性新生物＜腫瘍＞,2299
D37－D48,D37,D37,D37,NA,口腔及び消化器の性状不詳又は不明の新生物＜腫瘍＞,
D37－D48,D37,D37.0,D370,NA,口唇，口腔及び咽頭,
D37－D48,D37,D37.1,D371,NA,胃,2352
D37－D48,D37,D37.2,D372,NA,小腸,2352
D37－D48,D37,D37.3,D373,NA,虫垂,2352
D37－D48,D37,D37.4,D374,NA,結腸,2352
D37－D48,D37,D37.5,D375,NA,直腸,2352
D37－D48,D37,D37.6,D376,NA,肝，胆のう＜嚢＞及び胆管,2353
D37－D48,D37,D37.7,D377,NA,その他の消化器,
D37－D48,D37,D37.9,D379,NA,消化器，部位不明,2355
D37－D48,D38,D38,D38,NA,中耳，呼吸器及び胸腔内臓器の性状不詳又は不明の新生物＜腫瘍＞,
D37－D48,D38,D38.0,D380,NA,喉頭,2356
D37－D48,D38,D38.1,D381,NA,気管，気管支及び肺,2357
D37－D48,D38,D38.2,D382,NA,胸膜,2358
D37－D48,D38,D38.3,D383,NA,縦隔,2358
D37－D48,D38,D38.4,D384,NA,胸腺,2358
D37－D48,D38,D38.5,D385,NA,その他の呼吸器,2359
D37－D48,D38,D38.6,D386,NA,呼吸器，部位不明,2359
D37－D48,D39,D39,D39,NA,女性生殖器の性状不詳又は不明の新生物＜腫瘍＞,
D37－D48,D39,D39.0,D390,NA,子宮,2360
D37－D48,D39,D39.1,D391,NA,卵巣,
D37－D48,D39,D39.2,D392,NA,胎盤,2361
D37－D48,D39,D39.7,D397,NA,その他の女性生殖器,
D37－D48,D39,D39.9,D399,NA,女性生殖器，部位不明,2363
D37－D48,D40,D40,D40,NA,男性生殖器の性状不詳又は不明の新生物＜腫瘍＞,
D37－D48,D40,D40.0,D400,NA,前立腺,2365
D37－D48,D40,D40.1,D401,NA,精巣＜睾丸＞,
D37－D48,D40,D40.7,D407,NA,その他の男性生殖器,
D37－D48,D40,D40.9,D409,NA,男性生殖器，部位不明,2366
D37－D48,D41,D41,D41,NA,腎尿路の性状不詳又は不明の新生物＜腫瘍＞,
D37－D48,D41,D41.0,D410,NA,腎,
D37－D48,D41,D41.1,D411,NA,腎盂,
D37－D48,D41,D41.2,D412,NA,尿管,
D37－D48,D41,D41.3,D413,NA,尿道,23699
D37－D48,D41,D41.4,D414,NA,膀胱,2367
D37－D48,D41,D41.7,D417,NA,その他の尿路,
D37－D48,D41,D41.9,D419,NA,尿路，部位不明,23690
D37－D48,D42,D42,D42,NA,髄膜の性状不詳又は不明の新生物＜腫瘍＞,
D37－D48,D42,D42.0,D420,NA,脳髄膜,2376
D37－D48,D42,D42.1,D421,NA,脊髄膜,2376
D37－D48,D42,D42.9,D429,NA,髄膜，部位不明,2376
D37－D48,D43,D43,D43,NA,脳及び中枢神経系の性状不詳又は不明の新生物＜腫瘍＞,
D37－D48,D43,D43.0,D430,NA,脳，テント上,2375
D37－D48,D43,D43.1,D431,NA,脳，テント下,2375
D37－D48,D43,D43.2,D432,NA,脳，部位不明,2375
D37－D48,D43,D43.3,D433,NA,脳神経,2379
D37－D48,D43,D43.4,D434,NA,脊髄,2375
D37－D48,D43,D43.7,D437,NA,中枢神経系のその他の部位,
D37－D48,D43,D43.9,D439,NA,中枢神経系，部位不明,2379
D37－D48,D44,D44,D44,NA,内分泌腺の性状不詳又は不明の新生物＜腫瘍＞,
D37－D48,D44,D44.0,D440,NA,甲状腺,2374
D37－D48,D44,D44.1,D441,NA,副腎,
D37－D48,D44,D44.2,D442,NA,上皮小体＜副甲状腺＞,2374
D37－D48,D44,D44.3,D443,NA,下垂体,2370
D37－D48,D44,D44.4,D444,NA,頭蓋咽頭管,2370
D37－D48,D44,D44.5,D445,NA,松果体,2371
D37－D48,D44,D44.6,D446,NA,頚動脈小体,2373
D37－D48,D44,D44.7,D447,NA,大動脈小体及びその他のパラガングリア＜傍神経節＞,2373
D37－D48,D44,D44.8,D448,NA,複数の内分泌腺,
D37－D48,D44,D44.9,D449,NA,内分泌腺，部位不明,2374
D37－D48,D45,D45,D45,NA,真正赤血球増加症＜多血症＞,"20710,20711,20712,2384"
D37－D48,D46,D46,D46,NA,骨髄異形成症候群,
D37－D48,D46,D46.0,D460,NA,環状鉄芽球を伴わない不応性貧血と記載されたもの,23872
D37－D48,D46,D46.1,D461,NA,環状鉄芽球を伴う不応性貧血,23872
D37－D48,D46,D46.2,D462,NA,芽球過剰性不応性貧血,
D37－D48,D46,D46.4,D464,NA,不応性貧血，詳細不明,23872
D37－D48,D46,D46.5,D465,NA,多系統異形成を伴う不応性貧血,
D37－D48,D46,D46.6,D466,NA,単独del(5q)染色体異常を伴う骨髄異形成症候群,
D37－D48,D46,D46.7,D467,NA,その他の骨髄異形成症候群,
D37－D48,D46,D46.9,D469,NA,骨髄異形成症候群，詳細不明,23875
D37－D48,D47,D47,D47,NA,リンパ組織，造血組織及び関連組織の性状不詳又は不明のその他の新生物＜腫瘍＞,
D37－D48,D47,D47.0,D470,NA,性状不詳及び不明の組織球性及び肥満細胞性腫瘍,
D37－D48,D47,D47.1,D471,NA,慢性骨髄増殖性疾患,"23876,23879"
D37－D48,D47,D47.2,D472,NA,意義不明の単クローングロブリン血症（MGUS）,2731
D37－D48,D47,D47.3,D473,NA,本態性（出血性）血小板血症,23871
D37－D48,D47,D47.4,D474,NA,骨髄線維症,28989
D37－D48,D47,D47.5,D475,NA,慢性好酸球性白血病［好酸球増加症候群］,
D37－D48,D47,D47.7,D477,NA,リンパ組織，造血組織及び関連組織の性状不詳又は不明のその他の明示された新生物＜腫瘍＞,
D37－D48,D47,D47.9,D479,NA,リンパ組織，造血組織及び関連組織の性状不詳又は不明の新生物＜腫瘍＞，詳細不明,23879
D37－D48,D48,D48,D48,NA,その他及び部位不明の性状不詳又は不明の新生物＜腫瘍＞,
D37－D48,D48,D48.0,D480,NA,骨及び関節軟骨,2380
D37－D48,D48,D48.1,D481,NA,結合組織及びその他の軟部組織,2381
D37－D48,D48,D48.2,D482,NA,末梢神経及び自律神経系,2381
D37－D48,D48,D48.3,D483,NA,後腹膜,2354
D37－D48,D48,D48.4,D484,NA,腹膜,2354
D37－D48,D48,D48.5,D485,NA,皮膚,2382
D37－D48,D48,D48.6,D486,NA,乳房,
D37－D48,D48,D48.7,D487,NA,その他の明示された部位,2388
D37－D48,D48,D48.9,D489,NA,性状不詳又は不明の新生物＜腫瘍＞，部位不明,2389
D50－D53,D50,D50,D50,NA,鉄欠乏性貧血,
D50－D53,D50,D50.0,D500,NA,失血による鉄欠乏性貧血（慢性）,2800
D50－D53,D50,D50.1,D501,NA,鉄欠乏性えん＜嚥＞下障害,2808
D50－D53,D50,D50.8,D508,NA,その他の鉄欠乏性貧血,"2801,2808"
D50－D53,D50,D50.9,D509,NA,鉄欠乏性貧血，詳細不明,2809
D50－D53,D51,D51,D51,NA,ビタミンB12欠乏性貧血,
D50－D53,D51,D51.0,D510,NA,ビタミンB12欠乏性貧血，内因子欠乏によるもの,2810
D50－D53,D51,D51.1,D511,NA,ビタミンB12欠乏性貧血，タンパク＜蛋白＞尿を伴う選択的ビタミンB12吸収不良によるもの,2811
D50－D53,D51,D51.2,D512,NA,トランスコバラミン２欠乏症,2811
D50－D53,D51,D51.3,D513,NA,その他の食事性ビタミンB12欠乏性貧血,2811
D50－D53,D51,D51.8,D518,NA,その他のビタミンB12欠乏性貧血,2811
D50－D53,D51,D51.9,D519,NA,ビタミンB12乏性貧血，詳細不明,2811
D50－D53,D52,D52,D52,NA,葉酸欠乏性貧血,
D50－D53,D52,D52.0,D520,NA,食事性葉酸欠乏性貧血,2812
D50－D53,D52,D52.1,D521,NA,薬物誘発性葉酸欠乏性貧血,2812
D50－D53,D52,D52.8,D528,NA,その他の葉酸欠乏性貧血,2812
D50－D53,D52,D52.9,D529,NA,葉酸欠乏性貧血，詳細不明,2812
D50－D53,D53,D53,D53,NA,その他の栄養性貧血,
D50－D53,D53,D53.0,D530,NA,タンパク＜蛋白＞欠乏性貧血,2814
D50－D53,D53,D53.1,D531,NA,その他の巨赤芽球性貧血，他に分類されないもの,2813
D50－D53,D53,D53.2,D532,NA,壊血病性貧血,2818
D50－D53,D53,D53.8,D538,NA,その他の明示された栄養性貧血,2818
D50－D53,D53,D53.9,D539,NA,栄養性貧血，詳細不明,2819
D55－D59,D55,D55,D55,NA,酵素障害による貧血,
D55－D59,D55,D55.0,D550,NA,グルコース-６-リン＜燐＞酸脱水素酵素［G6PD］欠損による貧血,2822
D55－D59,D55,D55.1,D551,NA,その他のグルタチオン代謝障害による貧血,2822
D55－D59,D55,D55.2,D552,NA,解糖系酵素障害による貧血,2823
D55－D59,D55,D55.3,D553,NA,ヌクレオチド代謝障害による貧血,2823
D55－D59,D55,D55.8,D558,NA,酵素障害によるその他の貧血,2823
D55－D59,D55,D55.9,D559,NA,酵素障害による貧血，詳細不明,2823
D55－D59,D56,D56,D56,NA,サラセミア＜地中海貧血＞,
D55－D59,D56,D56.0,D560,NA,アルファサラセミア＜地中海貧血＞,28243
D55－D59,D56,D56.1,D561,NA,ベータサラセミア＜地中海貧血＞,28244
D55－D59,D56,D56.2,D562,NA,デルタ・ベータサラセミア＜地中海貧血＞,28245
D55－D59,D56,D56.3,D563,NA,サラセミア＜地中海貧血＞保因者,28246
D55－D59,D56,D56.4,D564,NA,遺伝性高胎児ヘモグロビン＜血色素＞症［HPFH］,2827
D55－D59,D56,D56.8,D568,NA,その他のサラセミア＜地中海貧血＞,28249
D55－D59,D56,D56.9,D569,NA,サラセミア＜地中海貧血＞，詳細不明,28240
D55－D59,D57,D57,D57,NA,鎌状赤血球障害,
D55－D59,D57,D57.0,D570,NA,鎌状赤血球貧血，クリーゼを伴うもの,
D55－D59,D57,D57.1,D571,NA,鎌状赤血球貧血，クリーゼを伴わないもの,"28260,28261"
D55－D59,D57,D57.2,D572,NA,重複ヘテロ複合型鎌状化障害,
D55－D59,D57,D57.3,D573,NA,鎌状赤血球保因者,2825
D55－D59,D57,D57.8,D578,NA,その他の鎌状赤血球障害,
D55－D59,D58,D58,D58,NA,その他の遺伝性溶血性貧血,
D55－D59,D58,D58.0,D580,NA,遺伝性球状赤血球症,2820
D55－D59,D58,D58.1,D581,NA,遺伝性楕円赤血球症,2821
D55－D59,D58,D58.2,D582,NA,その他の異常ヘモグロビン＜血色素＞症,2827
D55－D59,D58,D58.8,D588,NA,その他の明示された遺伝性溶血性貧血,2828
D55－D59,D58,D58.9,D589,NA,遺伝性溶血性貧血，詳細不明,2829
D55－D59,D59,D59,D59,NA,後天性溶血性貧血,
D55－D59,D59,D59.0,D590,NA,薬物誘発性自己免疫性溶血性貧血,2830
D55－D59,D59,D59.1,D591,NA,その他の自己免疫性溶血性貧血,2830
D55－D59,D59,D59.2,D592,NA,薬物誘発性非自己免疫性溶血性貧血,28319
D55－D59,D59,D59.3,D593,NA,溶血性尿毒症症候群,28311
D55－D59,D59,D59.4,D594,NA,その他の非自己免疫性溶血性貧血,"28310,28319"
D55－D59,D59,D59.5,D595,NA,発作性夜間ヘモグロビン＜血色素＞尿症［マルキアファーヴァ・ミケリ＜Marchiafava-Micheli＞症候群］,2832
D55－D59,D59,D59.6,D596,NA,その他の外因による溶血性ヘモグロビン＜血色素＞尿症,2832
D55－D59,D59,D59.8,D598,NA,その他の後天性溶血性貧血,2832
D55－D59,D59,D59.9,D599,NA,後天性溶血性貧血，詳細不明,2839
D60－D64,D60,D60,D60,NA,後天性赤芽球ろう＜癆＞［赤芽球減少症］,
D60－D64,D60,D60.0,D600,NA,慢性後天性赤芽球ろう＜癆＞,28481
D60－D64,D60,D60.1,D601,NA,一過性後天性赤芽球ろう＜癆＞,28481
D60－D64,D60,D60.8,D608,NA,その他の後天性赤芽球ろう＜癆＞,28481
D60－D64,D60,D60.9,D609,NA,後天性赤芽球ろう＜癆＞，詳細不明,28481
D60－D64,D61,D61,D61,NA,その他の無形成性貧血,
D60－D64,D61,D61.0,D610,NA,体質性再生不良性貧血,
D60－D64,D61,D61.1,D611,NA,薬物誘発性再生不良性貧血,28489
D60－D64,D61,D61.2,D612,NA,その他の外的因子による再生不良性貧血,28489
D60－D64,D61,D61.3,D613,NA,特発性再生不良性貧血,28489
D60－D64,D61,D61.8,D618,NA,その他の明示された無形成性貧血,
D60－D64,D61,D61.9,D619,NA,無形成性貧血，詳細不明,2849
D60－D64,D62,D62,D62,NA,急性出血後貧血,2851
D60－D64,D63*,D63,D63,NA,他に分類される慢性疾患における貧血,
D60－D64,D63*,D63.0,D630,NA,新生物＜腫瘍＞性疾患における貧血（C00－D48†）,28522
D60－D64,D63*,D63.8,D638,NA,他に分類されるその他の慢性疾患における貧血,28529
D60－D64,D64,D64,D64,NA,その他の貧血,
D60－D64,D64,D64.0,D640,NA,遺伝性鉄芽球性貧血,2850
D60－D64,D64,D64.1,D641,NA,続発性鉄芽球性貧血，疾病によるもの,2850
D60－D64,D64,D64.2,D642,NA,続発性鉄芽球性貧血，薬物及び毒素によるもの,2850
D60－D64,D64,D64.3,D643,NA,その他の鉄芽球性貧血,2850
D60－D64,D64,D64.4,D644,NA,先天性赤血球生成障害性貧血,2858
D60－D64,D64,D64.8,D648,NA,その他の明示された貧血,
D60－D64,D64,D64.9,D649,NA,貧血，詳細不明,2859
D65－D69,D65,D65,D65,NA,播種性血管内凝固症候群［脱線維素症候群］,2866
D65－D69,D66,D66,D66,NA,遺伝性第Ⅷ因子欠乏症,2860
D65－D69,D67,D67,D67,NA,遺伝性第Ⅸ因子欠乏症,2861
D65－D69,D68,D68,D68,NA,その他の凝固障害,
D65－D69,D68,D68.0,D680,NA,フォン　ウ＜ヴ＞ィルブランド＜ト＞＜von Willebrand＞病,2864
D65－D69,D68,D68.1,D681,NA,遺伝性第XI因子欠乏症,2862
D65－D69,D68,D68.2,D682,NA,その他の凝固因子の遺伝性欠乏症,2863
D65－D69,D68,D68.3,D683,NA,循環抗凝固薬による出血性障害,
D65－D69,D68,D68.4,D684,NA,後天性凝固因子欠乏症,2867
D65－D69,D68,D68.5,D685,NA,原発性血栓形成傾向,
D65－D69,D68,D68.6,D686,NA,その他の血栓形成傾向,
D65－D69,D68,D68.8,D688,NA,その他の明示された凝固障害,2869
D65－D69,D68,D68.9,D689,NA,凝固障害，詳細不明,2869
D65－D69,D69,D69,D69,NA,紫斑病及びその他の出血性病態,
D65－D69,D69,D69.0,D690,NA,アレルギー性紫斑病,2870
D65－D69,D69,D69.1,D691,NA,血小板機能異常症,2871
D65－D69,D69,D69.2,D692,NA,その他の血小板非減少性紫斑病,2872
D65－D69,D69,D69.3,D693,NA,特発性血小板減少性紫斑病,"28731,28739"
D65－D69,D69,D69.4,D694,NA,その他の原発性血小板減少症,
D65－D69,D69,D69.5,D695,NA,続発性血小板減少症,
D65－D69,D69,D69.6,D696,NA,血小板減少症，詳細不明,2875
D65－D69,D69,D69.8,D698,NA,その他の明示された出血性病態,2878
D65－D69,D69,D69.9,D699,NA,出血性病態，詳細不明,2879
D70－D77,D70,D70,D70,NA,無顆粒球症,
D70－D77,D71,D71,D71,NA,多形核好中球機能障害,2881
D70－D77,D72,D72,D72,NA,白血球のその他の障害,
D70－D77,D72,D72.0,D720,NA,白血球の遺伝性異常,2882
D70－D77,D72,D72.1,D721,NA,好酸球増加症,2883
D70－D77,D72,D72.8,D728,NA,その他の明示された白血球の障害,
D70－D77,D72,D72.9,D729,NA,白血球の障害，詳細不明,2889
D70－D77,D73,D73,D73,NA,脾疾患,
D70－D77,D73,D73.0,D730,NA,脾機能低下症,28959
D70－D77,D73,D73.1,D731,NA,脾機能亢進症,2894
D70－D77,D73,D73.2,D732,NA,慢性うっ血性脾腫,28951
D70－D77,D73,D73.3,D733,NA,脾膿瘍,28959
D70－D77,D73,D73.4,D734,NA,脾のう＜嚢＞胞,28959
D70－D77,D73,D73.5,D735,NA,脾梗塞,28959
D70－D77,D73,D73.8,D738,NA,その他の脾疾患,
D70－D77,D73,D73.9,D739,NA,脾疾患，詳細不明,28950
D70－D77,D74,D74,D74,NA,メトヘモグロビン血症,
D70－D77,D74,D74.0,D740,NA,先天性メトヘモグロビン血症,2897
D70－D77,D74,D74.8,D748,NA,その他のメトヘモグロビン血症,2897
D70－D77,D74,D74.9,D749,NA,メトヘモグロビン血症，詳細不明,2897
D70－D77,D75,D75,D75,NA,血液及び造血器のその他の疾患,
D70－D77,D75,D75.0,D750,NA,家族性赤血球増加症,2896
D70－D77,D75,D75.1,D751,NA,続発性＜二次性＞赤血球増加症＜多血症＞,2890
D70－D77,D75,D75.8,D758,NA,血液及び造血器のその他の明示された疾患,
D70－D77,D75,D75.9,D759,NA,血液及び造血器の疾患，詳細不明,2899
D70－D77,D76,D76,D76,NA,リンパ細網組織及び細網組織球組織のその他の明示された疾患,
D70－D77,D76,D76.1,D761,NA,血球貪食性リンパ組織球症,2884
D70－D77,D76,D76.2,D762,NA,血球貪食症候群，感染症に関連するもの,2884
D70－D77,D76,D76.3,D763,NA,その他の組織球症症候群,2884
D70－D77,D77*,D77,D77,NA,他に分類される疾患における血液及び造血器のその他の障害,28989
D80－D89,D80,D80,D80,NA,主として抗体欠乏を伴う免疫不全症,
D80－D89,D80,D80.0,D800,NA,遺伝性低ガンマグロブリン血症,27904
D80－D89,D80,D80.1,D801,NA,非家族性低ガンマグロブリン血症,27900
D80－D89,D80,D80.2,D802,NA,選択的免疫グロブリンA［IgA］欠乏症,27901
D80－D89,D80,D80.3,D803,NA,選択的免疫グロブリンG［IgG］サブクラス欠乏症,27903
D80－D89,D80,D80.4,D804,NA,選択的免疫グロブリンM［IgM］欠乏症,27902
D80－D89,D80,D80.5,D805,NA,免疫グロブリンM［IgM］増加を伴う免疫不全症,27905
D80－D89,D80,D80.6,D806,NA,正常又は高免疫グロブリン血症を伴う抗体欠乏症,27909
D80－D89,D80,D80.7,D807,NA,乳児一過性低ガンマグロブリン血症,27909
D80－D89,D80,D80.8,D808,NA,主として抗体欠乏を伴うその他の免疫不全症,27909
D80－D89,D80,D80.9,D809,NA,主として抗体欠乏を伴う免疫不全症，詳細不明,27909
D80－D89,D81,D81,D81,NA,複合免疫不全症,
D80－D89,D81,D81.0,D810,NA,細網系異形成を伴う重症複合免疫不全症［SCID］,2792
D80－D89,D81,D81.1,D811,NA,T細胞及びB細胞の減少を伴う重症複合免疫不全症［SCID］,2792
D80－D89,D81,D81.2,D812,NA,B細胞数が減少又は正常な重症複合免疫不全症［SCID］,2792
D80－D89,D81,D81.3,D813,NA,アデノシン・デアミネース＜脱アミノ酵素＞［ADA］欠乏症,2772
D80－D89,D81,D81.4,D814,NA,ネゼロフ＜Nezelof＞症候群,27913
D80－D89,D81,D81.5,D815,NA,プリンヌクレオシドホスホリラーゼ＜リン酸化酵素＞［PNP］欠乏症,2772
D80－D89,D81,D81.6,D816,NA,主要組織適合遺伝子複合体クラスⅠ欠乏症,2792
D80－D89,D81,D81.7,D817,NA,主要組織適合遺伝子複合体クラスⅡ欠乏症,2792
D80－D89,D81,D81.8,D818,NA,その他の複合免疫不全症,
D80－D89,D81,D81.9,D819,NA,複合免疫不全症，詳細不明,2792
D80－D89,D82,D82,D82,NA,その他の大きな欠損に関連する免疫不全症,
D80－D89,D82,D82.0,D820,NA,ウィスコット・アルドリッチ＜Wiskott-Aldrich＞症候群,27912
D80－D89,D82,D82.1,D821,NA,ディ ジョ－ジ＜Di George＞症候群,27911
D80－D89,D82,D82.2,D822,NA,短肢性低身長を伴う免疫不全症,2798
D80－D89,D82,D82.3,D823,NA,EB＜Epstein-Barr＞ウイルスに対する遺伝的反応異常に続発する免疫不全症,2798
D80－D89,D82,D82.4,D824,NA,高免疫グロブリンE［IgE］症候群,2798
D80－D89,D82,D82.8,D828,NA,その他の明示された大きな欠損に関連する免疫不全症,2798
D80－D89,D82,D82.9,D829,NA,大きな欠損に関連する免疫不全症，詳細不明,2798
D80－D89,D83,D83,D83,NA,分類不能型免疫不全症,
D80－D89,D83,D83.0,D830,NA,B細胞の数及び機能の顕著な異常を伴う分類不能型免疫不全症,27906
D80－D89,D83,D83.1,D831,NA,顕著な免疫調節性T細胞障害を伴う分類不能型免疫不全症,27906
D80－D89,D83,D83.2,D832,NA,B細胞又はT細胞に対する自己抗体を伴う分類不能型免疫不全症,27906
D80－D89,D83,D83.8,D838,NA,その他の分類不能型免疫不全症,27906
D80－D89,D83,D83.9,D839,NA,分類不能型免疫不全症，詳細不明,27906
D80－D89,D84,D84,D84,NA,その他の免疫不全症,
D80－D89,D84,D84.0,D840,NA,リンパ球機能抗原-１［LFA-1］欠乏症,2798
D80－D89,D84,D84.1,D841,NA,補体系の欠乏症,"2776,2798"
D80－D89,D84,D84.8,D848,NA,その他の明示された免疫不全症,"27910,27919,2793"
D80－D89,D84,D84.9,D849,NA,免疫不全症，詳細不明,2793
D80－D89,D86,D86,D86,NA,サルコイドーシス,
D80－D89,D86,D86.0,D860,NA,肺サルコイドーシス,135
D80－D89,D86,D86.1,D861,NA,リンパ節サルコイドーシス,135
